entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
20,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,60,2,0,81
,,,,,,,,,,,
2a,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,2,0,93
2b,[*]C1=CC=C(Cl)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,96
2c,[*]C1=CC=C(C)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,2,0,95
2d,[*]C1=CC=CC=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,2,0,84
2e,[*]C1=CC=CC=C1C,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,2,0,88
2f,[*]C1=CC=CC=C1Cl,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,77
2g,[*]C1=CC=CC=C1Br,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,90
2h,[*]C1=CC=CC(C)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,90
2i,[*]C1=CC=CC(Cl)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,92
2j,[*]C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,O2,rt,48,5,0,57
2k,[*]C1=CC(OCO2)=C2C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,2,0,94
2l,[*]C1=CC=CO1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,5,0,51
2m,[*]C1=CC=CS1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,CH3CN,O2,rt,48,5,0,56
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,[*]C1=CC=CC=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,air,80,48,0,0,0
2,[*]C1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,air,80,48,0,0,0
