,entry,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),収率(%),R2_C,R2_H,under_O2,under_air,solvent_CH3CN,solvent_DMF,solvent_MeCN,solvent_MeOH,solvent_toluene
166,3n,[*]C1=CC=C(C(OC)=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,80.0,1,0,0,1,1,0,0,0,0
167,3o,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,76.0,1,0,0,1,1,0,0,0,0
168,3q,[*]C1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,89.0,1,0,0,1,1,0,0,0,0
176,6,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,23,36.0,94.0,1,0,0,1,1,0,0,0,0
188,2a,[*]C1=CC=CO1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,99.0,1,0,1,0,1,0,0,0,0
189,2b,[*]C1=CC=C(F)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,80.0,1,0,1,0,1,0,0,0,0
190,2c,[*]C1=CC=C(Cl)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,97.0,1,0,1,0,1,0,0,0,0
191,2d,[*]C1=CC=C(Br)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,98.0,1,0,1,0,1,0,0,0,0
192,2e,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,99.0,1,0,1,0,1,0,0,0,0
193,2f,[*]C1=CC=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,75.0,1,0,1,0,1,0,0,0,0
194,2g,[*]C1=CC=C(OC)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,95.0,1,0,1,0,1,0,0,0,0
195,2h,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,95.0,1,0,1,0,1,0,0,0,0
196,2h-c,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,81.0,1,0,1,0,1,0,0,0,0
197,2i,[*]C1=CC(Br)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,95.0,1,0,1,0,1,0,0,0,0
198,2j,[*]C1=CC=CC(OC)=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,89.0,1,0,1,0,1,0,0,0,0
199,2k,[*]C1=CC(C)=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,99.0,1,0,1,0,1,0,0,0,0
202,2m,[*]C1=CSC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,83.0,1,0,1,0,1,0,0,0,0
205,2p,[*]C1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,12.0,99.0,0,1,1,0,1,0,0,0,0
