,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
92,15.0,80,48.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8612,77.02777777777777,1.4379484524245,1.3319764761990542,0.7819896630027445,2.6089165213500305
93,10.0,23,24.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
94,10.0,23,24.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.16962,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
95,10.0,23,24.0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8697999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
96,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.0003,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
97,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.5146,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
98,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.6237,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
99,10.0,23,24.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.5146,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
100,10.0,23,24.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.6237,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
101,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2.168,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
