,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%),R2_C,R2_H,R2_Ph,under_Ar,under_O2,under_air
103,CC1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,24.0,0.0,0.0,81.0,0,1,0,0,1,0
104,CC1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,12.0,0.0,0.0,14.0,0,1,0,0,1,0
105,CC1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,24.0,0.0,0.0,74.0,0,1,0,0,1,0
106,CC1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,12.0,0.0,0.0,15.0,0,1,0,0,1,0
107,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,24.0,0.0,0.0,90.0,0,1,0,0,1,0
108,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,12.0,0.0,0.0,81.0,0,1,0,0,1,0
109,CC1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,8.0,0.0,0.0,43.0,0,1,0,0,1,0
110,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,12.0,0.0,0.0,88.0,0,1,0,0,1,0
111,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,6.0,0.0,0.0,95.0,0,1,0,0,1,0
112,CC1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,2.0,0.0,0.0,65.0,0,1,0,0,1,0
113,CC1=CC=CC=C1,CC(/N=N/C(C)(C#N)C)(C#N)C,5.0,90,6.0,0.0,0.0,33.0,0,1,0,0,1,0
114,CC1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,5.0,90,6.0,0.0,0.0,93.0,0,1,0,0,1,0
115,CC1=CC=CC=C1,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
116,CC1=CC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,87.0,0,1,0,0,1,0
117,CC1=C(C)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
118,CC1=CC=C(C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
119,CC1=C(OC)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,86.0,0,1,0,0,1,0
120,CC1=CC(OC)=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
121,CC1=CC=C(OC)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,68.0,0,1,0,0,1,0
