entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
3m,CC1=CC=C([No][No])C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,65
3n,CC1=CC=C(C)C=C1.O=C=O,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,80
3o,CC1=CC(OCO2)=C2C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,76
3q,CC1=CC=CS1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,0,89
3r,CC1=CC=CC=C1,Ph,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,60,24,0,0,68
,,,,,,,,,,
1,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,48,0,0,68
2,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,48,0,0,48
3,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,48,0,0,45
4,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,48,0,0,66
5,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,60,48,0,0,64
6,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,air,rt,36,0,0,94
7,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,48,20,0,58
15,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,16,0,20,97
16,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,16,0,10,89
17,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,air,rt,36,0,10,72
18,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0,air,rt,36,0,20,0
19,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,20,94
20,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,rt,24,0,20,25
21,CC1=CC=CC=C1,C,O=C1C=CC(C=C1C(C)(C)C)=O,10,air,rt,24,0,20,19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2a,CC1=CC=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,99
