,SMILES
307,Cc1cccc(C(C)C)c1NC(=O)c1ccc(C#N)cc1
308,Cc1cccc(C(=O)OCc2ccc(C#N)cc2)c1C
309,N#Cc1ccccc1COC(=O)c1ccc(Cl)c(N)c1
310,N#CC(OC(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1
311,N#Cc1ccccc1COC(=O)c1ccccc1O
312,N#CCC(=O)Nc1ccc(C(=O)OCc2cc([N+](=O)[O-])cc3c2OCOC3)cc1
313,COC(=O)c1cccc(NC(=O)/C(C#N)=C/c2ccc(OC)cc2)c1
314,N#CC(C#N)=NNc1ccc(C(=O)O)cc1[N+](=O)[O-]
315,O=C(Oc1cc(OC(=O)c2cc(O)c(O)c(O)c2)c2ccccc2c1)c1cc(O)c(O)c(O)c1
316,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1
317,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
318,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2.Cl
319,N#Cc1cc(O)c(N)cc1C(F)(F)F
320,COc1ccc2c(c1)CCC2C#N
321,N#Cc1cc(O)ccc1N
322,Cc1cc(C(C)(C)c2ccc(Oc3ccc(C#N)c(C#N)c3)c(C)c2)ccc1Oc1ccc(C#N)c(C#N)c1
323,N#Cc1ccc(Oc2ccc(C(=O)OCC(=O)c3ccccc3)cc2)cc1C#N
324,COc1cccc(CC(C#N)C(=O)Nc2cc(C)ccc2C)c1
325,COc1ccc(CC(C#N)C(=O)Nc2cc(C)ccc2C)c(OC)c1
326,COc1ccc(OC)c(CC(C#N)C(=O)Nc2cccc(C)c2C)c1
327,COc1cc(CC(C#N)C(=O)Nc2cc(C)cc(C)c2)ccc1O
328,COc1cc(CC(C#N)C(=O)Nc2ccc(C)c(C)c2)ccc1O
329,CC(C)(C)c1ccc(Oc2cccc(C(=O)CC#N)c2)cc1
330,COC(=O)c1cc(OC)ccc1C#N
331,CCOC(=O)c1ccc(-c2ncccc2C#N)cc1
332,COc1cccc(OC)c1C(=O)Nc1ccc(C(C#N)Cc2ccc(N(C)C)cc2)cc1
333,COc1cc(C(=O)c2ccccc2C#N)cc(OC)c1OC
334,COc1cc(C(=O)Nc2ccc(CC#N)cc2)cc(OC)c1OC
335,N#Cc1ccccc1Oc1ccccc1C(=O)O
336,COc1ccc2c(c1)C(C#N)CC2
337,N#CCOc1ccccc1C(=O)O
338,N#CCc1ccc(Oc2ccc(N)cc2)cc1
339,Cl.N#CCc1ccc(Oc2ccc(N)cc2)cc1
340,N#Cc1ccc(Oc2cccc(C(=O)O)c2)cc1
341,N#CCc1ccc(NC(=O)c2ccccc2C(=O)O)cc1
342,N#Cc1cc(C=O)ccc1O
343,Cc1cccc(C(=O)Oc2ccc(/C=C(\C#N)c3ccccn3)cc2)c1
344,N#Cc1ccc(OC(=O)c2ccc([N+](=O)[O-])cc2)cc1
345,COc1ccc(C(=O)OCC(=O)N(CCC#N)c2ccccc2)c(OC)c1OC
346,CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OC(=O)c1ccccc1
347,N#CCCN(C(=O)COC(=O)c1ccccc1O)c1ccccc1
348,N#Cc1ccc(COC(=O)c2cc3ccccc3cc2O)cc1
349,COc1cc(C(C)=O)ccc1COc1ccc(C(=O)OCC(=O)N(C)CCC#N)cc1OC
350,COc1cc(C(C)=O)ccc1OCc1ccc(C#N)cc1
351,CCC(C)c1ccccc1NC(=O)CN(C)Cc1ccc(OC)c(OC)c1OC.O=C(O)C(=O)O
352,COc1cc(C(C)=O)ccc1OCc1ccccc1C#N
353,COc1cc(C(=O)O)ccc1OCC#N
354,CCc1cccc(C)c1NC(=O)c1ccc(OCC#N)cc1
355,CC(C#N)OC(=O)c1cc2ccccc2cc1O
356,CCCCNCCCOc1ccc(C(C)C)c(C)c1.O=C(O)C(=O)O
357,N#CCOC(=O)c1ccc2ccccc2c1O
358,COc1ccc(O)c(C(=O)OC(C)C(=O)Nc2ccccc2C#N)c1
359,N#Cc1ccccc1COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2
360,COc1cc(N)c(Cl)cc1C(=O)OC(C)C#N
361,COc1cccc(C(=O)OCc2ccccc2C#N)c1O
362,N#Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1
363,N#Cc1cccc(N)c1O
364,COc1cc(C(=O)CC#N)cc(OC)c1OC
365,COc1c(C)cc(C(=O)CC#N)cc1C
366,CCOC(=O)c1cccc(NC(=O)/C(C#N)=C/c2ccc(OC)cc2)c1
367,COc1c(C)c(C(=O)c2ccc(N)c(C(=O)[O-])c2)n2ccccc12.[Na+]
368,COC(=O)c1cc(C#N)c(O)nc1C
369,COC(=O)c1cc(C#N)c(Oc2cccc(C)c2C)nc1C
370,COC(=O)c1ccccc1OCC#N
371,COc1c(OCc2ccccc2)ccc(C#N)c1N
372,COc1cccc(C(=O)Nc2ccc(CC#N)cc2)c1
373,COc1ccc(C(=O)CC#N)cc1OC
374,COc1ccc(C#N)cc1C=O
