,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),389_R1-,891_R1-,1057_R1-,1199_R1-,1625_R1-,1858_R1-,1_organocatalyst,84_organocatalyst,114_organocatalyst,314_organocatalyst,322_organocatalyst,389_organocatalyst,456_organocatalyst,586_organocatalyst,695_organocatalyst,728_organocatalyst,736_organocatalyst,745_organocatalyst,781_organocatalyst,807_organocatalyst,875_organocatalyst,1057_organocatalyst,1088_organocatalyst,1160_organocatalyst,1199_organocatalyst,1416_organocatalyst,1476_organocatalyst,1602_organocatalyst,1607_organocatalyst,1750_organocatalyst,1917_organocatalyst
87,21.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
88,21.0,1,0,1,0,0.7463483959544044,0.1998520543469425,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
89,7.0,1,0,1,0,0.7463483959544044,0.8136109014530347,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
90,0.0,1,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
91,2.0,1,1,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
92,14.0,1,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,86.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
94,67.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
95,69.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
96,88.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
97,80.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
