,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst
69,63.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1
70,9.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
71,29.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
72,91.0,3.4380967092325845,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
73,33.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
74,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
75,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
76,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
77,32.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
78,46.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
79,36.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1
80,44.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
81,11.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
82,40.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1
83,21.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
84,8.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
85,17.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
86,37.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
87,21.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
88,21.0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
89,7.0,0.7463483959544044,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
90,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
91,2.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
92,14.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
93,86.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
94,67.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
