,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),598_R1-,2040_R1-,1_organocatalyst,3_organocatalyst,224_organocatalyst,232_organocatalyst,321_organocatalyst,380_organocatalyst,428_organocatalyst,488_organocatalyst,598_organocatalyst,808_organocatalyst,823_organocatalyst,857_organocatalyst,1077_organocatalyst,1085_organocatalyst,1219_organocatalyst,1731_organocatalyst,2017_organocatalyst,2040_organocatalyst
65,39.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
66,64.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1
67,69.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
68,47.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
69,63.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
70,9.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1
71,29.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
72,91.0,0,1,1,0,3.4380967092325845,-0.935601812799328,-0.171685708586216,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
73,33.0,0,1,1,0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
74,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
75,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
