,yield,organocatalyst(mol%),temp(℃),time(h),704_R1-,1013_R1-,35_organocatalyst,51_organocatalyst,120_organocatalyst,173_organocatalyst,281_organocatalyst,413_organocatalyst,527_organocatalyst,579_organocatalyst,599_organocatalyst,728_organocatalyst,863_organocatalyst,905_organocatalyst,1076_organocatalyst,1128_organocatalyst,1138_organocatalyst,1144_organocatalyst,1196_organocatalyst,1234_organocatalyst,1307_organocatalyst,1763_organocatalyst,1902_organocatalyst,1911_organocatalyst,1993_organocatalyst
74,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
75,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
76,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
77,32.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
78,46.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
79,36.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
80,44.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
81,11.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,40.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
83,21.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0
84,8.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0
